300,8.5
1917,9.5
10 Cloverfield Lane ,8
10 Things I Hate About You,8
101 Dalmatians (remake),5.5
101 Dalmations,8.5
17 Again,6.5
2 Guns,7
2001: A Space Odyssey,6
2018 life itself,6
2019 escape room,7
21 bridges,7.5
21 jump street,7.5
22nd Jump Street,6.5
28 Days Later,6.5
3 Days Of Condor,6.5
30 Minutes Or Less,5
47 ronin,4.5
50 First Dates,8
500 days of summer,8
6 below,4
8 Mile,7.5
A beautiful day in the neighbourhood,8.5
A beautiful mind,8.5
A bugs life,8
A Christmas Carol (1984),6.5
A Christmas Carol (2019),4
A christmas carol 1971,7.5
A Christmas Prince,7
A christmas story,6
A Cinderella Story,7
A close Shave,8
A Few Good Men,8
A fish called wanda,8.9
A fistfull of dollars,7.5
A Goofy Movie,4
A grand day out,8.5
A matter of loaf and death,8
A quiet place part 2,9
A Shaun the Sheep movie: Farmageddon,7
A Shot In The Dark,7
A Star Is Born (remake),8
A Time To Kill,9
A train arrives at the station (1895),5
A Walk Among The Tombstones,6.5
Abominable ,7
About A Boy,7.5
Accordion Player (1888),5
Ace ventura pet detective ,7.5
Ace Ventura when nature calls,7
Ad Astra,3.5
After Earth,6
Air Bud,7
Air force one,8
Airplane,7
Aladdin,9.5
Aladdin (remake),7.5
Aladdin 2,4
Aladdin 3,6.5
Alexander and the terrible horrible no good very bad day,7
Alfie,3
Ali,8.5
Ali G indahouse,7.5
Alice In Wonderland ,8.5
Alice in Wonderland (1903),5
Alice in wonderland 2010,5.5
Alice through the looking glass 2016,3.5
Alien,9
Alien 3,4
Alien covenant ,5.5
Alien Resurrection,2.5
Alien Vs Predator,4
Alien Vs Predator - Requiem,2.5
Aliens,4.5
All about Steve,5.5
Almost Famous,7.5
Alone in the wilderness,9.3
Along Came Polly,8.5
Alvin And The Chipmunks,6
Alvin And The Chipmunks 2,4
Amèlie,4
American Gangster,8
American graffiti,7
American History X,8.5
American hustle,8.5
American Made,7.5
American Pie,9
American Pie 2,8
American Pie 3,8
American Pie Reunion,8.5
American Psycho,8
American Psycho 2,3.5
Ammonite,7
An Officer And A Gentleman,9.5
Analyze this,7.5
Anastasia,6
Anchorman,7
Angel Has Fallen,7.5
Angels And Demons,7
Anger Management ,6
Animal Farm (1954),4.5
Annie,8
Annie Hall,6
Annihilation ,5.5
Antz,6
Apocalypse Now ,7
Apollo 10 and a half ,8.2
Apollo 11,8
Apollo13,9.5
Aquaman,8.5
Argo,7
Army of the dead,6
Around The World In 80 Days 2004,7
Arrival,7
Artemis Fowl,3.5
Arthur Christmas,7.5
As Good As It Gets,9
Atlantis: The lost empire,6
Atomic Blonde,8
Austin Powers In Goldmember,6.5
Austin powers International man of mystery ,8.5
Austin Powers The Spy Who Shagged Me,8.5
Avatar,8.6
Avengers Age Of Ultron,7
Avengers Assemble,8
Avengers Endgame,8
Avengers Infinity War,9.5
Babe,7.5
Baby boom,6.5
Baby driver,8.5
Babys Day Out,8.5
Back To The Future,9.5
Back To The Future 2,9.5
Back To The Future 3,8
Bad Boys,9
bad boys 2,8.5
Bad boys for life,8
Bad moms,8
Bad moms - A bad moms Christmas,8.4
Bad Neighbours ,7
Bad Neighbours 2,5
Bad Santa,8.5
Bad Teacher,6
Bad times at the El Royale,8
Bad trip,8.5
Bah humduck a looney Christmas ,6
Bambi,8.5
Band Camp,8
Barely Lethal,7
Barnyard,9
Basic,4
Basic Instinct ,8.5
Batman,8
Batman (1966),7.5
Batman And Robin,5
Batman Begins,9.5
Batman Forever,6.5
Batman Returns,8.5
Batman V Superman ,6
Battle For The Planet Of The Apes,3.5
Baywatch,8
Be kind rewind ,8
Beauty And The Beast,9.5
Beauty And The Beast (remake),8
Bedknobs And Broomsticks,8.5
Bedtime stories,3.5
Beethoven,7
Before I got to sleep,6.5
Before The Flood,9
Being the Ricardos ,6
Bend It Like Beckham ,8.5
Beneath The Planet Of The Apes,4
Beta House,8
Between two ferns the movie,7.5
Beverley Hills Chihuahuas,6
Beverly Hills Cop,9.5
Beverly Hills Cop 2,8.5
Beverly Hills Cop 3,7.5
bicycle thieves,7.5
Big ,7
Big Daddy,8
Big Hero 6,8.5
Big Momma 2,8
Big Momma 3 Like Father Like Son,9
Big Mommas House,8.5
Big Stan,7.5
Big Trouble In Little China ,7
Bill and teds excellent adventure,8.5
bird box,9
Birdman,9
Black and Blue,9
Black Beauty,8
Black hawk down,7
black mirror bandersnatch,7
Black Panther,8.5
Black Swan,8
Black Widow,9
Blade,3.5
Blade Runner (1982),7.5
Blade Runner 2049,8.5
Blazing Saddles,7
Blended,8
Blockers,7.5
Blood Diamond,7.5
Blue Streak,8.5
Bohemian Rapsady,8.5
Bolt,9.5
Bombshell,8
Book Of Love,8
Boomerang,7
Borat,8.5
Borat 2,8.5
Born Strong,8
Bottle rocket,7
Boyz n the hood,8
Bram Stokers Dracula,7
Brave,8.5
Bride Wars,7.5
Bridesmaids ,7.5
Bridge of Spies,6.5
Bridge To Terabithia,6
Bridget Jones 2 Edge of reason,6.5
Bridget Jones 3 bridget Jones baby,7.5
Bridget Jones' Dairy,8.5
Bright,5
Bring It On,5
Bringing Down The House ,8
Brokeback Mountain,9
Brother Bear,9
Bruce Almighty,7.5
Bruno,9
Bugsy Malone,8
Bumble Bee,7
Butch Cassidy And The Sundance Kid,10
Calamity Jane,7
Calendar girls,6
Call of the Wild,9
Candyman,7
Cape fear,7
Captain America,7.5
Captain America Civil War,8.5
Captain America The Winter Soldier ,9
Captain fantastic,8.5
Captain Marvel,8
Captain Phillips ,9.5
Captain underpants the first epic movie,6
Carlito's Way,8.5
carol,5
Carrie,6
Cars,10
Cars 2,7
Cars 3,6.5
Casablanca,6
Casino Royale ,9.5
Casino Royale 1967,5.7
Casper,6
Cast Away,9.5
Castle in the Sky,7
Catch Me If You Can,9.5
Cats,2
Cats And Dogs,6
Central Intelligence ,7.8
Chalet Girl,8.5
Change Up,5
Chaos walking,5.5
Chariots Of Fire,7
Charles Dickens' A Christmas Carol (1997),7
Charlie And The Chocolate Factory,7
Charlie Wilsons War,7
Charlie's Angels,5
Charlottes Web,8
Cheaper By The Dozen,9
Cheaper By The Dozen 2,9
Chicken Little,7
Chicken Run,8.5
Child's Play,5
Chinatown,9
Chitty Chitty Bang Bang,8
Chocolat (2000),5.5
Christmas with the kranks,7
Christopher Robin,7
Cinderella,8
Cinderella 2015,8
cinderella 2021,1.5
Cinema paradiso ,9
Citizen Kane ,8
City of ember,6.5
City Of God,9
Cleopatra,6.5
Click,7
Close Encounters Of The Third Kind,6
Closer,5
Cloudy With A Chance Of Meatballs,7.5
Clue (1985),4
Coach carter,7.5
Coco,9
Coda,9
Cold pursuit,7.5
Collateral,9
Collateral Beauty,6.5
Coming 2 America ,7
Coming To America,9
Confessions of a shopaholic,8.5
Conor McGregor: Notorious,8
Conquest Of The Planet Of The Apes,3
Contagion ,7.5
Cool hand Luke ,8.5
Cool Runnings,8
Cop Out,5
Copshop,8
Coraline,4
corpse bride,6
Couples retreat,6.5
Cowboys And Aliens,5
Crank,5
Crank 2,5.5
Crash,6.5
Crazy Heart,8.5
Crazy Rich Asians,8
Creed,9
Creed 2,8.5
Crocodile Dundee ,8
Cruel Intentions,9
Cruel Intentions 2,8
Cruel Intentions 3,5
Cruella,7.5
Cujo,6
Curious George,8
Daddy Day Care,9
Daddys Home,6.5
Daddys Home 2,6
Dairy Of A Wimpy Kid,7
Dallas buyers club,9.5
Dances with wolves ,7.5
Dark Shadows,7
Dark Waters,8.5
Date Movie,3.5
Dawn Of The Planet Of The Apes ,8.5
Dead poets society ,9
Dear john,8
Death At A Funeral,7.5
Death on the nile,8.5
Death to 2020,5
Deathproof,3
Deck the halls,6
Deep impact ,6.5
Deep water,8
Deepwater Horizon,6.5
Definitely maybe,8
Demolition Man,7
Desperado,9
Despicable Me ,7.5
Despicable Me 2,6
Detective Pikachu,6
Diamonds are forever,7.2
Did you hear about the Morgan's?,6
Die Another Day,7.9
Die Hard,10
Die Hard 2,9.5
Die Hard 3,9
Die Hard 4,9
Die Hard 5,5
Dinner for schmucks ,6
Dinosaur,6
Dirty Dancing,8
Dirty Grandpa,7
Dirty Harry,9
Dirty Rotten Scoundrels,8.5
Disney's a Christmas carol,6.5
District 9,7
Divergent,7
Django 1966,9
Django Unchained,10
Do the right thing,9
Doctor Dolittle ,6
Doctor sleep,8
Doctor Strange ,7
Doctor Strange in the multiverse of madness,8.6
Doctor Zhivago,4.5
Dodgeball,5
Dolittle (2020),4
Don Jon,7
Don't look up,7
Don't worry he won't get far on foot,8
Donnie Darko,6.5
Doodlebug,5
Dora And The Lost City Of Gold,8
Downtown Abbey,5.5
Dr No,7.8
Dr Seuss' How The Grinch Stole Christmas ,8.1
dr. strangelove or: how i learned to stop worrying and love,8
Dracula,6.5
Dream horse,8.5
Drive,8.5
Drive my car,7.5
Driving miss daisy,7.4
Duck tales the movie treasure of the lost lamp,5
Dude Where's My Car?,6
Due Date,6
Dumb And Dumber,9
Dumb And Dumber To,8
Dumbo,7
Dumbo (remake),5
Dune 2021,8.5
Dunkirk,7
Dunston Checks In,6
Early Man,7
Easy A,7.5
Easy rider,4.5
Eddie the Eagle ,7.5
Eddie: Strongman,8.5
Edge of Tomorrow,9
Edward Scissor Hands,5
Eight below,6
Eighth grade,9
Elf,8.7
emma,7
Empire of the sun,8
Encanto ,9
Enchanted,6
Enola Holmes,8.9
Entrapment,4.5
Envy,5.5
Epic Movie,5
Eragon,4
Escape from Pretoria,6.5
Escape From The Planet Of The Apes,1
Escape Plan,9
Escape Plan 2,2
Eternal sunshine of the spotless mind,8.4
Eternals ,7.5
Evan Almighty,7
Ex Machina,9
Extraction,7
Eyes wide open,8
F9,8
Face/off,8.5
Falling Down,8.5
Falling inn love,6.5
Family Guy: It's A Trap!,6
Fanny and Alexander ,5
fantasia,8
Fantasia 2000,7.5
Fantastic 4,3
Fantastic beasts and where to find them,7.5
Fantastic beasts the crimes of Grindelwald ,7
Fantastic Four,6
Fantastic Four 2,5
Fantastic Mr Fox ,7.5
Fargo,9
Fast And Furious,8
Fast And Furious 2,7
Fast And Furious 3,7
Fast And Furious 4,7
Fast And Furious 5,9
Fast And Furious 6,8
Fast And Furious 7,7
Fast And Furious 8,7.5
Faster,7
Fatal Attraction,8
Father Of The Bride,9
Father Of The Bride 2,8
Fatherhood,7.5
Fight Club,10
Fighting with my family,8.5
Finch,7.5
Finding Dory ,8.5
Finding Nemo,9.5
Fire On The Amazon ,0
First Daughter,3
First Man,8
First men in the moon,5
Flash Gordon ,2
Flashdance,8
Flight of the navigator,7.5
Flubber,3.5
Flushed Away,7
Focus ,9
Footloose,9
For A few dollars More ,8
For your eyes only,7.8
Forces of nature,5.5
Forgetting Sarah Marshall ,8
Forrest Gump,10
Four christmases,6
Frankenstein (1931),5.9
Frankenstein the First (1910),5
Freaky,8
Freaky Friday,7
Fred Claus,6.2
Free guy,8.5
Free solo,9
Free Willy,8
Frida,7
Friday The 13th,8.6
Friday the 13th part 2,8.1
Friends With Benefits ,8
Friends With Kids,8
From Russia With Love,8.3
Frosty the snowman (1969),6
Frozen,8.5
Frozen 2,7.5
Fun and Fancy free,4.5
Fun With Dick And Jane,7
Fury,8.5
G-force,7
Gandhi,7.5
Gangs Of New York ,5
Gangster Squad,6.5
Garfield 2,7
Garfield The Movie,7
Gemini Man,7
George of the jungle,4
Get Hard,8
Get Out,8.4
Get smart,8
Ghost In The Shell,3
Ghost in the shell 1995,6.5
Ghost Rider,4
Ghostbusters,8.5
Ghostbusters 2,8.5
Ghostbusters 2016,6.5
Ghostbusters afterlife ,6.5
Ghosts Of A Girlfriend's Past,7
Gi Joe 1,7
Gi Joe 2,7
gi Joe origins: snake eyes,8
Gladiator,9
Glass,5.5
Godfather 2,7.5
Godfather 3,5
godzilla,7
Godzilla 1998,5
Godzilla 2,6
Godzilla vs Kong ,7
Going In Style,7.5
Gold,6.5
Goldeneye,8.6
Goldfinger,9.1
Gone Girl,9
Gone with the wind,8
Good Morning Vietnam ,8
Good time,8.5
Goodbye Christopher Robin ,7
Goodfellas,9.5
Goosebumps,8.5
Grave of the fireflies,9
Gravity,7.5
Green Book,9.5
Green Lantern ,3
Gregory's girl,8
Gremlins,8.9
Gremlins 2,8.2
Greyhound,7.3
Grind house planet terror,3.5
Groundhog Day,8.5
Grown Ups,7.5
Grown Ups 2,7
Guardians Of The Galaxy ,9
Guardians Of The Galaxy 2,9
